Species,Sex,Type,Ncontra,NnoContra,minAge,LifeExpNoContra,SEnoContra,LifeExpContra,SEcontra,pHazGamma,pHazGammaSE,pHazGammaLow,pHazGammaUpp
Phacochoerus africanus,Female,Hormonal,51,230,2,9.198984293,0.341786609,9.591253864,0.676251819,-0.122042139,0.223516486,-0.572820045,0.306466651
Pithecia pithecia,Female,Hormonal,98,183,5,12.01718888,0.926724794,14.73718733,1.545187086,-0.31998694,0.196573224,-0.701590129,0.061377615
Pongo abelii,Female,Hormonal,84,245,9,27.65397743,1.399242169,34.00936674,2.406795417,-0.655887435,0.291903075,-1.241292709,-0.101497845
Potamochoerus porcus,Female,Hormonal,49,321,2,10.32187353,0.328439837,9.871830207,0.764880054,0.117251764,0.214618457,-0.329927853,0.540747297
Potamochoerus porcus,Male,Surgical,37,305,2,10.22088572,0.333521533,12.15836758,0.939703624,-0.559323988,0.300698963,-1.183742763,-0.008544573
Procavia capensis,Male,Hormonal,62,372,1,4.343347991,0.195534492,4.941324129,0.524388276,-0.187268956,0.173155793,-0.532152997,0.146536154
Procyon lotor,Female,Surgical,180,1111,1,10.48568726,0.223213513,11.0189442,0.570693066,-0.122339765,0.137209588,-0.394527882,0.143533346
Procyon lotor,Male,Surgical,392,998,1,8.962323546,0.244606101,11.43885259,0.432130885,-0.519358233,0.099667363,-0.715522158,-0.328312632
Pteropus rodricensis,Female,Hormonal,131,845,1,10.06011659,0.330651399,12.30906622,1.035056862,-0.313039345,0.149365273,-0.622385435,-0.024929641
Puma concolor,Male,Surgical,60,315,6,9.149079233,0.25432718,9.156979807,0.501659244,-0.00227096,0.188604781,-0.38239545,0.349749525
Puma concolor,Male,Surgical,60,315,6,9.149079233,0.25432718,9.156979807,0.501659244,-0.00227096,0.188604781,-0.38239545,0.349749525
Rangifer tarandus,Male,Surgical,48,649,1,5.309797868,0.213543171,7.380556077,0.880466866,-0.497527269,0.20838955,-0.917628434,-0.105541729
Rattus norvegicus,Female,Surgical,34,647,1,1.291612727,0.03550913,1.480414321,0.189497704,-0.213295782,0.21567706,-0.647387775,0.207542657
Rattus norvegicus,Male,Surgical,42,355,1,1.24815531,0.044533636,1.274608836,0.120287661,-0.031534837,0.171530174,-0.376451265,0.298367527
Rousettus aegyptiacus,Male,Surgical,76,985,1,9.052400139,0.250128085,7.383516428,0.648451274,0.340539477,0.144737576,0.054152412,0.618369878
Saguinus bicolor,Female,Hormonal,64,81,4,7.509681847,0.738576692,9.738425623,1.078818524,-0.432874755,0.237160022,-0.908739601,0.025077746
Saguinus oedipus,Female,Hormonal,216,1254,2,9.136209507,0.223564929,10.69299805,0.627083231,-0.257227859,0.106692848,-0.466906431,-0.055875521
Saguinus oedipus,Female,Surgical,33,1254,2,9.130046681,0.235043948,8.244736945,1.198422466,0.155041368,0.20805903,-0.271305239,0.546488589
Saguinus oedipus,Male,Hormonal,37,1257,4,9.493730048,0.194191842,9.275695665,1.211692503,0.048299668,0.25174121,-0.475809229,0.525108027
Saguinus oedipus,Male,Surgical,96,1540,2,10.25954422,0.20224346,10.79693966,0.871473687,-0.096833838,0.161536674,-0.424770275,0.21518397
Saimiri sciureus,Female,Hormonal,74,1726,2,11.62484866,0.252293691,14.23630688,1.414329734,-0.363688929,0.19856952,-0.775342058,0.007213925
Saimiri sciureus,Male,Surgical,114,1402,2,9.195033909,0.253884548,14.18582236,1.308718609,-0.677415297,0.176324922,-1.038042815,-0.349693705
Sapajus apella,Male,Surgical,89,793,3,20.52149469,0.768416632,18.21552197,1.890231614,0.205864202,0.181117607,-0.172945289,0.546972983
Suricata suricatta,Female,Hormonal,263,4132,1,7.622872269,0.085506927,8.367490502,0.309956641,-0.20227699,0.08642769,-0.37609338,-0.033229437
Suricata suricatta,Female,Surgical,67,2956,3,6.527045137,0.085380612,6.654079954,0.49180477,-0.038160652,0.153586507,-0.347555939,0.250230715
Suricata suricatta,Male,Hormonal,69,4952,1,8.183260892,0.078029597,8.879808206,0.661381826,-0.191252017,0.181674428,-0.563657463,0.142793319
Suricata suricatta,Male,Surgical,270,4952,1,8.1827697,0.076307236,8.427833573,0.327806544,-0.068347433,0.094412663,-0.254979438,0.114032534
Sus scrofa,Male,Surgical,81,864,0,4.696768169,0.278028502,4.928459058,0.911033922,-0.040266916,0.180974611,-0.403146807,0.310492125
Symphalangus syndactylus,Female,Hormonal,92,158,6,20.42260237,1.501636208,25.34399915,2.629008514,-0.409415709,0.240080906,-0.906956329,0.047523329
Trachypithecus cristatus,Female,Hormonal,39,61,2,13.1139895,1.416732962,16.33429553,2.06122561,-0.453288097,0.342451509,-1.142020795,0.186409831
Trachypithecus francoisi,Female,Hormonal,59,55,4,12.15478989,1.372261986,12.95148905,1.381416207,-0.115215434,0.265557223,-0.625731734,0.401621886
Tragelaphus oryx,Male,Surgical,159,1084,1,7.01881284,0.217136361,9.504227563,0.66051101,-0.496656636,0.134015043,-0.775304907,-0.234691204
