"Species","Sex","Type","Ncontra","NnoContra","minAge","LifeExpNoContra","SEnoContra","LifeExpContra","SEcontra","pHazGamma","pHazGammaSE","pHazGammaLow","pHazGammaUpp"
"Nasua nasua","Female","Hormonal",39,1056,5,7.13284596480318,0.138236663566122,6.997920678896,0.671575899502373,0.0455069640268136,0.208057844195024,-0.378584708638835,0.430889676126236
"Nasua nasua","Female","Surgical",41,1428,1,9.82046111622512,0.152807977605596,9.46838938711092,0.867052672192132,0.0906659432308818,0.219326666210527,-0.359982414716738,0.498930445790586
"Nasua nasua","Male","Surgical",224,928,1,8.38067748185845,0.185926804177324,9.5645803776247,0.384255991306996,-0.29029112660407,0.10250736484924,-0.483295619769464,-0.0891662330030451
"Nomascus leucogenys","Female","Hormonal",50,66,9,25.0190951042452,2.24243747969337,25.1020539153217,2.62826347311042,-0.0123065792916397,0.311348869871251,-0.621319658437334,0.589682276269872
"Notamacropus parma","Male","Surgical",43,748,1,4.66358241759504,0.156440037704606,6.03158416756534,0.711682814263041,-0.382867536079371,0.197204042323465,-0.789798438124342,-0.0105671370646221
"Notamacropus rufogriseus","Male","Surgical",620,2869,1,5.43265299480642,0.105887845970127,6.39174938049934,0.255561459542776,-0.222406084764055,0.0621003428526428,-0.345864918483002,-0.101025942579691
"Octodon degus","Female","Hormonal",83,502,1,4.20218980533635,0.147513437825357,5.59118550762854,0.438574899352032,-0.514842359761645,0.161971996063456,-0.826356921435721,-0.199693242121807
"Octodon degus","Male","Surgical",175,363,1,3.64334947727901,0.148331964881968,4.12033108765932,0.249562232323629,-0.199922084102937,0.1159274603757,-0.425092972477118,0.0229571891206432
"Odocoileus virginianus","Male","Surgical",39,270,1,8.00478220881896,0.530760818325312,11.6045369093478,1.6660200736129,-0.594448617434305,0.252030143961475,-1.10043836797462,-0.129758299898914
"Oryctolagus cuniculus","Female","Surgical",42,493,1,4.62403728851923,0.179981293713978,5.75941161739256,0.643256386335696,-0.37150201873961,0.207374428539602,-0.784437966379532,0.0200789704769464
"Oryctolagus cuniculus","Male","Surgical",87,312,1,5.15257413633577,0.227136912836665,5.06228149126079,0.420366502116783,0.0321198031045881,0.15497473248422,-0.275053303461487,0.323393744843878
"Oryx dammah","Female","Hormonal",36,2407,3,10.6930492207497,0.141378331276703,11.2741882955756,1.13875380280511,-0.139127515403842,0.27449387646958,-0.729034101450686,0.368249385089205
"Oryx dammah","Male","Surgical",172,1818,2,8.98186583133753,0.209645887935493,11.4130228046095,0.659770415755475,-0.495600311183416,0.137646406207898,-0.766079144429628,-0.233510403477611
"Osphranter rufus","Male","Surgical",221,1959,1,5.70307174013477,0.119613068820472,6.92539565551042,0.341124190444588,-0.314932269762243,0.0905272445552162,-0.492856860286713,-0.139207137834088
"Ovis aries","Male","Surgical",58,558,1,7.84209629503192,0.295324538444031,7.56902462834238,0.76297833014639,0.065627259993777,0.194477350362114,-0.334744011832136,0.44740105736224
"Pan troglodytes","Female","Hormonal",359,659,9,32.1565793283119,0.920550588775473,32.8351993404152,1.38496467734637,-0.0594847235267224,0.142646960787053,-0.33684961913389,0.21704848898834
"Pan troglodytes","Female","Surgical",49,603,14,28.3072945826333,0.914841160044762,32.244612313728,2.62254126499098,-0.379284092747027,0.262919402311426,-0.932245453028952,0.106162530767858
"Pan troglodytes","Male","Surgical",226,430,14,22.3930412707128,0.918798586183762,30.2017013802846,1.95207594401078,-0.674508986573398,0.174924257240541,-1.0361577784455,-0.346343762172941
"Panthera leo","Female","Hormonal",289,1307,4,11.7223925307547,0.192445434420993,13.2166823603837,0.413486244179135,-0.351837252694986,0.105926679680715,-0.561994996407299,-0.154870995100437
"Panthera leo","Female","Surgical",152,1307,4,11.6803570935191,0.194152405893692,12.486300908485,0.454559181162839,-0.188438860203765,0.112417337581099,-0.420313112760047,0.0337692019820388
"Panthera leo","Male","Surgical",177,1311,2,13.4395714793069,0.221480991947037,13.0621286806615,0.474161759151281,0.0843869501493082,0.111275829936013,-0.134346790441957,0.297946314460158
"Panthera onca","Female","Hormonal",35,374,3,14.7564902105507,0.364323941119925,14.6054800827985,0.960340502858223,0.0349249833824649,0.240055965537237,-0.468868009960792,0.484316464126642
"Panthera tigris","Female","Surgical",43,551,5,10.9307416154967,0.271077400647864,12.220976770931,0.763718499338645,-0.3425919326318,0.209636687596381,-0.763948198662764,0.0593596591452984
"Papio hamadryas","Female","Hormonal",370,979,5,13.6177463115946,0.352554787697769,17.6200318316753,0.604841293926187,-0.590414574888008,0.100059726874414,-0.791189080428731,-0.394291247883223
"Papio hamadryas","Female","Surgical",134,828,7,12.2754724315593,0.350808014356946,15.4954976959396,0.865418030578779,-0.487253767243392,0.13646348515175,-0.749385936160715,-0.226697906742044
"Papio hamadryas","Male","Surgical",179,945,5,11.7621470316838,0.332236039774514,14.0014106609092,0.864431326342267,-0.321924658680002,0.129251170341007,-0.56387190546467,-0.071814398520281
"Papio papio","Female","Hormonal",41,188,4,15.1539475887647,0.777002050081359,15.151026559914,1.59067144042569,-0.000385480672299787,0.280240718764517,-0.566921629485802,0.52679993766423
