species,Species,Solitary,Social monogamy,Group living,Paternal Care,Testesmass,Bodymass,common,Class,Order,Family,Sex,Type,Ncontra,NnoContra,minAge,LifeExpNoContra,SEnoContra,LifeExpContra,SEcontra,pHazGamma,pHazGammaSE,pHazGammaLow,pHazGammaUpp,unknown
Tragelaphus oryx,NA,NA,NA,NA,NA,NA,NA,Common eland,Mammalia,Artiodactyla,Bovidae,Male,Surgical,159,1084,1,7.01881284,0.217136361,9.504227563,0.66051101,-0.496656636,0.134015043,-0.775304907,-0.234691204,1.354107565
Cebus capucinus,Cebus capucinus,No,No,Yes,No,NA,NA,White-throated capuchin,Mammalia,Primates,Cebidae,Male,Surgical,43,131,4,19.89634479,1.557714613,27.57997377,2.777886574,-0.931106158,0.402752239,-1.739468047,-0.180728319,1.386182943
Dama dama,Dama dama,No,No,Yes,No,133,63700,Fallow deer,Mammalia,Artiodactyla,Cervidae,Male,Surgical,142,1922,1,6.779576148,0.202875669,9.4219908,0.980921967,-0.422677796,0.147243842,-0.721193029,-0.143501498,1.38976104
Rangifer tarandus,Rangifer tarandus,No,No,Yes,No,132,145000,Reindeer,Mammalia,Artiodactyla,Cervidae,Male,Surgical,48,649,1,5.309797868,0.213543171,7.380556077,0.880466866,-0.497527269,0.20838955,-0.917628434,-0.105541729,1.389988143
Odocoileus virginianus,Odocoileus virginianus,Yes,No,No,No,85.5,44800,White-tailed deer,Mammalia,Artiodactyla,Cervidae,Male,Surgical,39,270,1,8.004782209,0.530760818,11.60453691,1.666020074,-0.594448617,0.252030144,-1.100438368,-0.1297583,1.449700517
Macaca sylvanus,Macaca sylvanus,No,No,Yes,No,NA,NA,Barbary macaque,Mammalia,Primates,Cercopithecidae,Male,Surgical,235,389,3,11.49603807,0.576870618,16.66805223,1.25421533,-0.628320664,0.14381352,-0.911891541,-0.351079284,1.449895358
Saimiri sciureus,Saimiri sciureus,No,No,Yes,No,3.17,779,Guianan squirrel monkey,Mammalia,Primates,Cebidae,Male,Surgical,114,1402,2,9.195033909,0.253884548,14.18582236,1.308718609,-0.677415297,0.176324922,-1.038042815,-0.349693705,1.542769989
Eudorcas thomsonii,Eudorcas thomsonii,No,No,Yes,No,NA,NA,Thomson's gazelle,Mammalia,Artiodactyla,Bovidae,Male,Surgical,56,358,1,5.150305944,0.286245095,7.96898102,0.848589805,-0.630850614,0.190595354,-1.012093689,-0.26482507,1.547283037
Equus quagga,NA,NA,NA,NA,NA,NA,NA,Plains zebra,Mammalia,Perissodactyla,Equidae,Male,Surgical,50,235,3,13.16934972,0.889527738,21.48492796,2.42510741,-1.082336458,0.300028165,-1.70550532,-0.525687309,1.631434233
Aepyceros melampus,Aepyceros melampus,No,No,Yes,No,120,62500,Impala,Mammalia,Artiodactyla,Bovidae,Male,Surgical,120,485,1,4.429966356,0.218392004,7.286336132,0.638378354,-0.629676699,0.133249523,-0.901374412,-0.374876528,1.644783627
Antilope cervicapra,Antilope cervicapra,No,No,Yes,No,NA,NA,Blackbuck,Mammalia,Artiodactyla,Bovidae,Male,Surgical,290,2336,1,4.936698716,0.114975732,8.129627032,0.484775821,-0.631338521,0.086449058,-0.80087304,-0.464635518,1.646773988
