species,order,phylogeny,sex,type,yi,vi,obs_id,sex_type
Tragelaphus strepsiceros,Artiodactyla,Tragelaphus_strepsiceros,female,hormonal,-0.21833922514336657,0.018056008532994196,219,female_hormonal
Varecia rubra,Primates,Varecia_rubra,female,hormonal,0.14178496129711804,0.006775089882445079,220,female_hormonal
Varecia variegata,Primates,Varecia_variegata,female,hormonal,0.09648916300239052,0.012167827602351033,221,female_hormonal
Zalophus californianus,Carnivora,Zalophus_californianus,female,hormonal,0.05998482756648371,0.035229959777337054,222,female_hormonal
Canis latrans,Carnivora,Canis_latrans,female,surgical,0.23823325646619548,0.011420601738384098,223,female_surgical
Canis lupus,Carnivora,Canis_lupus,female,surgical,0.09533751615152897,0.0025242907990078232,224,female_surgical
Cavia porcellus,Rodentia,Cavia_porcellus,female,surgical,-0.24262800423634193,0.0139408836614777,225,female_surgical
Cynomys ludovicianus,Rodentia,Cynomys_ludovicianus,female,surgical,-0.19432763404202066,0.023370801112497473,226,female_surgical
Eidolon helvum,Chiroptera,Eidolon_helvum,female,surgical,0.11134877988316665,0.0060707112082177455,227,female_surgical
Felis catus,Carnivora,Felis_catus,female,surgical,0.22641941633198617,0.0035970195102747312,228,female_surgical
Lemur catta,Primates,Lemur_catta,female,surgical,-0.027548402700385048,0.01346227105989172,229,female_surgical
Leptailurus serval,Carnivora,Leptailurus_serval,female,surgical,0.06480052096656143,0.02061749415563835,230,female_surgical
Lycaon pictus,Carnivora,Lycaon_pictus,female,surgical,-0.21501031910315818,0.007618543319087463,231,female_surgical
Lynx rufus,Carnivora,Lynx_rufus,female,surgical,0.07794175690818478,0.0039971838857313325,232,female_surgical
Macaca fascicularis,Primates,Macaca_fascicularis,female,surgical,0.04237083994910472,0.012942934810399223,233,female_surgical
Macaca fuscata,Primates,Macaca_fuscata,female,surgical,0.5101819034526645,0.016432993749964965,234,female_surgical
Macaca mulatta,Primates,Macaca_mulatta,female,surgical,0.35693222563847066,0.024138651468799722,235,female_surgical
